# Chunk-averaged data for fix tprof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
10000 20 19843.000000000004
  12 149.896 1014.87 321.794
  13 162.93 957.37 313.777
  14 175.964 1014.81 305.986
  15 188.999 964.95 302.419
  16 202.033 1004.62 300.544
  17 215.068 1018.02 301.382
  18 228.102 948.64 298.852
  19 241.136 1016.08 287.602
  20 254.171 1004.45 281.792
380000 20 19843
  1 6.5172 992.52 274.82
  2 19.5516 1015.47 282.946
  3 32.586 957.37 288.312
  4 45.6204 1015.05 292.171
  5 58.6548 976.93 293.415
  6 71.6892 991.16 301.761
  7 84.7236 1018.9 307.328
  8 97.758 947.99 313.525
  9 110.792 1016.69 321.237
  10 123.827 989.66 321.173
  11 136.861 980.08 326.436
  12 149.896 1014.88 321.528
  13 162.93 957.57 309.72
  14 175.964 1014.58 305.22
  15 188.999 967.07 303.688
  16 202.033 1002.51 300.06
  17 215.068 1018.12 297.994
  18 228.102 948.37 293.634
  19 241.136 1016.25 288.717
  20 254.171 1001.83 283.586
390000 20 19843.000000000004
  1 6.5172 990.72 275.75
  2 19.5516 1015.46 279.028
  3 32.586 957.7 285.843
  4 45.6204 1014.92 291.512
  5 58.6548 978.91 298.07
  6 71.6892 989.14 298.175
  7 84.7236 1019.02 300.74
  8 97.758 947.76 307.159
  9 110.792 1016.62 312.027
  10 123.827 987.53 317.865
  11 136.861 982.27 329.556
  12 149.896 1014.8 327.527
  13 162.93 957.53 323.136
  14 175.964 1014.71 313.406
  15 188.999 965.82 309.698
  16 202.033 1003.78 302.013
  17 215.068 1017.86 297.767
  18 228.102 948.65 289.218
  19 241.136 1016.14 286.12
  20 254.171 1003.66 280.728
400000 20 19843.000000000004
  1 6.5172 991.46 271.101
  2 19.5516 1015.41 280.46
  3 32.586 957.6 288.513
  4 45.6204 1014.95 292.714
  5 58.6548 977.78 293.251
  6 71.6892 990.24 297.136
  7 84.7236 1018.92 302.347
  8 97.758 948.01 307.805
  9 110.792 1016.55 307.465
  10 123.827 988.37 316.848
  11 136.861 981.43 327.973
  12 149.896 1014.87 327.175
  13 162.93 957.56 325.213
  14 175.964 1014.62 317.45
  15 188.999 967.02 308.188
  16 202.033 1002.61 302.977
  17 215.068 1017.96 298.976
  18 228.102 948.57 293.45
  19 241.136 1016.04 284.855
  20 254.171 1003.03 275.319
410000 20 19842.999999999996
  1 6.5172 989.91 273.373
  2 19.5516 1015.48 277.432
  3 32.586 957.45 286.672
  4 45.6204 1015.02 293.17
  5 58.6548 979.43 292.433
  6 71.6892 988.57 300.982
  7 84.7236 1019.03 301.578
  8 97.758 947.81 309.378
  9 110.792 1016.72 313.713
  10 123.827 987.63 313.257
  11 136.861 982.15 327.284
  12 149.896 1014.7 324.156
  13 162.93 957.52 319.872
  14 175.964 1014.78 313.027
  15 188.999 964.49 309.44
  16 202.033 1005.18 300.383
  17 215.068 1017.87 297.557
  18 228.102 948.55 295.706
  19 241.136 1016.23 286.479
  20 254.171 1004.48 284.939
420000 20 19843.000000000004
  1 6.5172 991.65 274.571
  2 19.5516 1015.46 282.488
  3 32.586 957.59 287.926
  4 45.6204 1014.86 290.229
  5 58.6548 977.47 292.909
  6 71.6892 990.57 300.037
  7 84.7236 1019.16 298.355
  8 97.758 947.68 305.08
  9 110.792 1016.66 311.323
  10 123.827 989.19 316.691
  11 136.861 980.63 331.011
  12 149.896 1014.86 324.797
  13 162.93 957.33 318.443
  14 175.964 1014.83 311.342
  15 188.999 965.98 313.279
  16 202.033 1003.58 301.833
  17 215.068 1018 297.294
